state1,state2,distance,estoque
Roteiro,Atalaia,0.3338797604594274,81
Santa Luzia do Norte,Atalaia,0.22447916398126,81
Santana do Ipanema,Atalaia,1.228733476710931,81
Santana do Mundaú,Atalaia,0.3889214272101894,81
São Brás,Atalaia,1.078035801015728,81
São José da Laje,Atalaia,0.4935047249826934,81
São José da Tapera,Atalaia,1.3595032737123405,81
São Luís do Quitunde,Atalaia,0.4968391603271301,81
São Miguel dos Campos,Atalaia,0.2880128276464295,81
São Miguel dos Milagres,Atalaia,0.6913889446899677,81
São Sebastião,Atalaia,0.6846241759868559,81
Satuba,Atalaia,0.2076167305159258,81
Senador Rui Palmeira,Atalaia,1.4346073418565273,81
Tanque d'Arca,Atalaia,0.4110960958218859,81
Taquarana,Atalaia,0.4955425540147948,81
Teotônio Vilela,Atalaia,0.5211312481302403,81
Traipu,Atalaia,1.0867776087993593,81
União dos Palmares,Atalaia,0.3392905179275641,81
Viçosa,Atalaia,0.2541514870998452,81
Água Branca,Barra de Santo Antônio,2.433147189734637,44
Anadia,Barra de Santo Antônio,0.8446093588966432,44
Arapiraca,Barra de Santo Antônio,1.2051593050784934,44
Atalaia,Barra de Santo Antônio,0.5246424414379948,44
Barra de Santo Antônio,Barra de Santo Antônio,0.0,0
Barra de São Miguel,Barra de Santo Antônio,0.5915331748207996,44
Batalha,Barra de Santo Antônio,1.6403858041387014,44
Belém,Barra de Santo Antônio,0.9989545847262988,44
Belo Monte,Barra de Santo Antônio,1.8226868691136988,44
Boca da Mata,Barra de Santo Antônio,0.7513050887753613,44
Branquinha,Barra de Santo Antônio,0.5324044283330452,44
Cacimbinhas,Barra de Santo Antônio,1.4830622151314512,44
Cajueiro,Barra de Santo Antônio,0.6464390827095136,44
Campestre,Barra de Santo Antônio,0.5621899008056813,44
Campo Alegre,Barra de Santo Antônio,0.9241083874353584,44
Campo Grande,Barra de Santo Antônio,1.398451993596859,44
Canapi,Barra de Santo Antônio,2.1146727996034542,44
Capela,Barra de Santo Antônio,0.5663957004658241,44
Carneiros,Barra de Santo Antônio,1.871616783082488,44
Chã Preta,Barra de Santo Antônio,0.802919249356775,44
Coité do Nóia,Barra de Santo Antônio,1.0952764040344276,44
Colônia Leopoldina,Barra de Santo Antônio,0.541551340999421,44
Coqueiro Seco,Barra de Santo Antônio,0.3769502783467276,44
Coruripe,Barra de Santo Antônio,0.9829904063056226,44
Craíbas,Barra de Santo Antônio,1.2787540050985438,44
Delmiro Gouveia,Barra de Santo Antônio,2.491996525298291,44
Dois Riachos,Barra de Santo Antônio,1.5933802100651189,44
Estrela de Alagoas,Barra de Santo Antônio,1.252861046752242,44
Feira Grande,Barra de Santo Antônio,1.2708758341405602,44
Feliz Deserto,Barra de Santo Antônio,1.1938956103424836,44
Flexeiras,Barra de Santo Antônio,0.3432260035401916,44
Girau do Ponciano,Barra de Santo Antônio,1.405940878232941,44
Ibateguara,Barra de Santo Antônio,0.6112545286256995,44
Igaci,Barra de Santo Antônio,1.134122852719984,44
Igreja Nova,Barra de Santo Antônio,1.3610965135271689,44
Inhapi,Barra de Santo Antônio,2.248874221103897,44
Jacaré dos Homens,Barra de Santo Antônio,1.713122960495764,44
Jacuípe,Barra de Santo Antônio,0.565032297230504,44
Japaratinga,Barra de Santo Antônio,0.4025513731496778,44
Jaramataia,Barra de Santo Antônio,1.5162710615515833,44
Jequiá da Praia,Barra de Santo Antônio,0.8027632159386665,44
Joaquim Gomes,Barra de Santo Antônio,0.3630240996319389,44
Jundiá,Barra de Santo Antônio,0.4746656555596809,44
Junqueiro,Barra de Santo Antônio,1.0996297426805242,44
Lagoa da Canoa,Barra de Santo Antônio,1.3018801693353488,44
Limoeiro de Anadia,Barra de Santo Antônio,1.0506735420554312,44
Maceió,Barra de Santo Antônio,0.3466819129482119,44
Major Isidoro,Barra de Santo Antônio,1.483267814824355,44
Mar Vermelho,Barra de Santo Antônio,0.8818714755465825,44
Maragogi,Barra de Santo Antônio,0.4848948275937372,44
Maravilha,Barra de Santo Antônio,1.8505262222899488,44
Marechal Deodoro,Barra de Santo Antônio,0.4936960628454878,44
Maribondo,Barra de Santo Antônio,0.8164857131346983,44
Mata Grande,Barra de Santo Antônio,2.243461968685513,44
Matriz de Camaragibe,Barra de Santo Antônio,0.2543991044028795,44
Messias,Barra de Santo Antônio,0.3351276935552382,44
Minador do Negrão,Barra de Santo Antônio,1.3611375564324382,44
Monteirópolis,Barra de Santo Antônio,1.7523395516625715,44
Murici,Barra de Santo Antônio,0.4469986501208578,44
Novo Lino,Barra de Santo Antônio,0.5091881852760237,44
Olho d'Água das Flores,Barra de Santo Antônio,1.7914912274139712,44
Olho d'Água do Casado,Barra de Santo Antônio,2.3286970473360444,44
Olho d'Água Grande,Barra de Santo Antônio,1.4635068287009536,44
Olivença,Barra de Santo Antônio,1.6871816114821396,44
Ouro Branco,Barra de Santo Antônio,1.864702442916103,44
Palestina,Barra de Santo Antônio,1.8414367419738775,44
Palmeira dos Índios,Barra de Santo Antônio,1.120280567261034,44
Pão de Açúcar,Barra de Santo Antônio,1.9598021481457013,44
Pariconha,Barra de Santo Antônio,2.502117775844596,44
Paripueira,Barra de Santo Antônio,0.0748913822532458,44
Passo de Camaragibe,Barra de Santo Antônio,0.1669675524772634,44
Paulo Jacinto,Barra de Santo Antônio,0.8633638097008871,44
Penedo,Barra de Santo Antônio,1.395997613328816,44
Piaçabuçu,Barra de Santo Antônio,1.3643344203287593,44
Pilar,Barra de Santo Antônio,0.4889341046009948,44
Pindoba,Barra de Santo Antônio,0.785951102679081,44
Piranhas,Barra de Santo Antônio,2.260069170251428,44
Poço das Trincheiras,Barra de Santo Antônio,1.7807229943806626,44
Porto Calvo,Barra de Santo Antônio,0.3758415454469495,44
Porto de Pedras,Barra de Santo Antônio,0.3251857256597283,44
Porto Real do Colégio,Barra de Santo Antônio,1.5448078109718062,44
Quebrangulo,Barra de Santo Antônio,0.9677030284310272,44
Rio Largo,Barra de Santo Antônio,0.3538523659855574,44
Roteiro,Barra de Santo Antônio,0.6361242720618148,44
Santa Luzia do Norte,Barra de Santo Antônio,0.3726210549838597,44
Santana do Ipanema,Barra de Santo Antônio,1.7382558751962605,44
Santana do Mundaú,Barra de Santo Antônio,0.7531507890927995,44
São Brás,Barra de Santo Antônio,1.5697729498871944,44
São José da Laje,Barra de Santo Antônio,0.6780475328397817,44
São José da Tapera,Barra de Santo Antônio,1.8801744443955224,44
São Luís do Quitunde,Barra de Santo Antônio,0.1018187235685839,44
São Miguel dos Campos,Barra de Santo Antônio,0.696793028589817,44
São Miguel dos Milagres,Barra de Santo Antônio,0.1933081880199517,44
São Sebastião,Barra de Santo Antônio,1.172951885860287,44
Satuba,Barra de Santo Antônio,0.3546652264312153,44
Senador Rui Palmeira,Barra de Santo Antônio,1.9506971885982027,44
Tanque d'Arca,Barra de Santo Antônio,0.934258304885163,44
Taquarana,Barra de Santo Antônio,1.0187410910009551,44
Teotônio Vilela,Barra de Santo Antônio,0.9826088040153091,44
Traipu,Barra de Santo Antônio,1.5995361258506222,44
União dos Palmares,Barra de Santo Antônio,0.5778153032685719,44
Viçosa,Barra de Santo Antônio,0.7343680095543295,44
Água Branca,Barra de São Miguel,2.109400421657514,92
Anadia,Barra de São Miguel,0.4258188371816923,92
Arapiraca,Barra de São Miguel,0.7583978910249667,92
Atalaia,Barra de São Miguel,0.3570806052447767,92
Barra de Santo Antônio,Barra de São Miguel,0.5915331748207996,92
Barra de São Miguel,Barra de São Miguel,0.0,0
Batalha,Barra de São Miguel,1.227709179833297,92
Belém,Barra de São Miguel,0.643332373823898,92
Belo Monte,Barra de São Miguel,1.372271816467721,92
Boca da Mata,Barra de São Miguel,0.3702737142396075,92
Branquinha,Barra de São Miguel,0.6040864570000416,92
Cacimbinhas,Barra de São Miguel,1.1684014219077523,92
Cajueiro,Barra de São Miguel,0.5069304412069002,92
Campestre,Barra de São Miguel,1.0506086566284851,92
Campo Alegre,Barra de São Miguel,0.4468430069269339,92
Campo Grande,Barra de São Miguel,0.8917012800481424,92
Canapi,Barra de São Miguel,1.8422679804329267,92
Capela,Barra de São Miguel,0.4632029192961175,92
Carneiros,Barra de São Miguel,1.5123072522832963,92
Chã Preta,Barra de São Miguel,0.7019279556608877,92
Coité do Nóia,Barra de São Miguel,0.7022741388157494,92
Colônia Leopoldina,Barra de São Miguel,0.9488812450902108,92
Coqueiro Seco,Barra de São Miguel,0.2272359748622665,92
Coruripe,Barra de São Miguel,0.3914676405276078,92
Craíbas,Barra de São Miguel,0.8884465044998735,92
Delmiro Gouveia,Barra de São Miguel,2.1395465439153845,92
