state1,state2,distance
Florida,Illinois,132565.00129370496
Florida,Indiana,118976.63438675679
Florida,Iowa,743261.8575690535
Florida,Kansas,187368.5984176644
Florida,Kentucky,93499.17828515927
Florida,Louisiana,98535.73614176737
Florida,Maine,213217.33714921027
Florida,Maryland,253642.9857969662
Florida,Massachusetts,172913.78220662457
Florida,Michigan,159926.07751395644
Florida,Minnesota,212622.86128260056
Florida,Mississippi,83041.78612000105
Florida,Missouri,738471.9355818473
Florida,Montana,328378.67802279734
Florida,Nebraska,216208.53231313513
Florida,Nevada,358166.26094734273
Florida,New Hampshire,185641.85033553184
Florida,New Jersey,139326.37856845342
Florida,New Mexico,243577.90211141895
Florida,New York,159085.97276315722
Florida,North Carolina,75719.37601433335
Florida,North Dakota,260530.38337207428
Florida,Ohio,116607.75209650515
Florida,Oklahoma,165758.65579812115
Florida,Oregon,410664.12840300525
Florida,Pennsylvania,131006.54020696829
Florida,Rhode Island,169958.415719846
Florida,South Carolina,55098.789324267374
Florida,South Dakota,237925.15167589995
Florida,Tennessee,253466.6129355107
Florida,Texas,171195.85429851973
Florida,Utah,311094.69448385003
Florida,Vermont,182773.82702400253
Florida,Virginia,95906.77609011784
Florida,Washington,423727.6555359586
Florida,West Virginia,101757.57326115831
Florida,Wisconsin,176838.799419132
Florida,Wyoming,289213.4632568131
Georgia,Alabama,33889.068473476815
Georgia,Alaska,756703.1225229615
Georgia,Arizona,282648.0695440887
Georgia,Arkansas,92775.45757903864
Georgia,California,363122.56109473563
Georgia,Colorado,230007.56281696478
Georgia,Connecticut,139808.88321204772
Georgia,Delaware,761571.3503027803
Georgia,Florida,41320.66239788515
Georgia,Georgia,0.0
Georgia,Hawaii,739691.7066352711
Georgia,Idaho,729274.8177504828
Georgia,Illinois,93739.17284145407
Georgia,Indiana,77885.54313221421
Georgia,Iowa,746911.3373058412
Georgia,Kansas,160432.5757693867
Georgia,Kentucky,52346.10443003376
Georgia,Louisiana,86975.51862449571
Georgia,Maine,190692.50222281946
Georgia,Maryland,294958.1002261169
Georgia,Massachusetts,150951.90760636315
Georgia,Michigan,118694.21081080576
Georgia,Minnesota,174363.4216026974
Georgia,Mississippi,62259.233090361784
Georgia,Missouri,744165.8080192881
Georgia,Montana,298937.35998198687
Georgia,Nebraska,186158.10751616486
Georgia,Nevada,338556.4190382454
Georgia,New Hampshire,162035.39837023267
Georgia,New Jersey,115715.08660498855
Georgia,New Mexico,227386.50869389766
Georgia,New York,130001.31573564939
Georgia,North Carolina,49934.733052255324
Georgia,North Dakota,225629.64717651802
Georgia,Ohio,76721.90645441496
Georgia,Oklahoma,143574.87233147727
Georgia,Oregon,387954.4701250393
Georgia,Pennsylvania,99842.3900755586
Georgia,Rhode Island,149302.48124194052
Georgia,South Carolina,28477.67476462922
Georgia,South Dakota,205182.52204561673
Georgia,Tennessee,292008.4904416308
Georgia,Texas,159313.11923379067
Georgia,Utah,290036.5396445765
Georgia,Vermont,157073.33258067712
Georgia,Virginia,66986.86677998904
Georgia,Washington,398326.5557767898
Georgia,West Virginia,66290.75076509542
Georgia,Wisconsin,136568.5352085172
Georgia,Wyoming,262380.26823677117
Hawaii,Alabama,706570.9236792864
Hawaii,Alaska,439669.62436470407
Hawaii,Arizona,468485.32710641
Hawaii,Arkansas,655772.6487449748
Hawaii,California,405861.05883294594
Hawaii,Colorado,541583.8283276191
Hawaii,Connecticut,863229.6916580198
Hawaii,Delaware,1499930.6293242364
Hawaii,Florida,743927.1929994224
Hawaii,Georgia,739691.7066352711
Hawaii,Hawaii,0.0
Hawaii,Idaho,1468958.8374423566
Hawaii,Illinois,700199.9143701748
Hawaii,Indiana,727813.2510926137
Hawaii,Iowa,1486289.303284189
Hawaii,Kansas,607823.9256470577
Hawaii,Kentucky,731331.5862561933
Hawaii,Louisiana,652725.9562825734
Hawaii,Maine,906677.4306802833
Hawaii,Maryland,812524.6076076712
Hawaii,Massachusetts,873719.1524036771
Hawaii,Michigan,749293.8841502712
Hawaii,Minnesota,672893.9309103627
Hawaii,Mississippi,678566.3390192591
Hawaii,Missouri,1482326.6658068323
Hawaii,Montana,538587.2809638192
