state1,state2,distance,estoque
Nevada,Hawaii,440663.5016302122,97
New Hampshire,Hawaii,879589.3475707854,97
New Jersey,Hawaii,840890.4485609288,97
New Mexico,Hawaii,522053.10654855793,97
New York,Hawaii,839627.696828779,97
North Carolina,Hawaii,784844.1479045379,97
North Dakota,Hawaii,621546.9793668054,97
Ohio,Hawaii,762479.9303752198,97
Oklahoma,Hawaii,608338.5142172079,97
Oregon,Hawaii,429142.7536344986,97
Pennsylvania,Hawaii,812259.0648290729,97
Rhode Island,Hawaii,874714.9466254706,97
South Carolina,Hawaii,766970.7713420375,97
South Dakota,Hawaii,611214.39031816,97
Tennessee,Hawaii,719886.7303854128,97
Texas,Hawaii,581283.6050715692,97
Utah,Hawaii,485786.016204666,97
Vermont,Hawaii,870190.2492219734,97
Virginia,Hawaii,794114.7240443284,97
Washington,Hawaii,449952.89578577,97
West Virginia,Hawaii,779414.5523558051,97
Wisconsin,Hawaii,706985.0107831141,97
Wyoming,Hawaii,538429.4489763724,97
Alabama,Idaho,762505.3832603414,63
Alaska,Idaho,1421906.5748272634,63
Arizona,Idaho,1007042.9689670644,63
Arkansas,Idaho,815316.3613040033,63
California,Idaho,1082458.1234916204,63
Colorado,Idaho,942386.9473809578,63
Connecticut,Idaho,613267.4944100657,63
Delaware,Idaho,66361.05358566875,63
Florida,Idaho,727082.1075174385,63
Georgia,Idaho,729274.8177504828,63
Hawaii,Idaho,1468958.8374423566,63
Idaho,Idaho,0.0,0
Illinois,Idaho,778545.4722545113,63
Indiana,Idaho,749529.1499988509,63
Iowa,Idaho,31046.00220640332,63
Kansas,Idaho,871162.2544996999,63
Kentucky,Idaho,741547.3233098479,63
Louisiana,Idaho,816233.929964321,63
Maine,Idaho,577904.7748729889,63
Maryland,Idaho,768361.0490726349,63
Massachusetts,Idaho,603832.2568967312,63
Michigan,Idaho,739489.0011927155,63
Minnesota,Idaho,828664.7370342242,63
Mississippi,Idaho,790642.3497701094,63
Missouri,Idaho,63906.23814620917,63
Montana,Idaho,982091.7119719522,63
Nebraska,Idaho,883785.8198709685,63
Nevada,Idaho,1052897.3525472465,63
New Hampshire,Idaho,601235.3772192717,63
New Jersey,Idaho,633482.5172244298,63
New Mexico,Idaho,951722.0051112616,63
New York,Idaho,640807.3172693957,63
North Carolina,Idaho,684934.4026985358,63
North Dakota,Idaho,890585.4176776083,63
Ohio,Idaho,714481.1457169461,63
Oklahoma,Idaho,864780.303487539,63
Oregon,Idaho,1090977.9809093308,63
Pennsylvania,Idaho,664291.380851054,63
Rhode Island,Idaho,601543.932402281,63
South Carolina,Idaho,702146.8128539786,63
South Dakota,Idaho,887650.491384982,63
Tennessee,Idaho,852653.8368323924,63
Texas,Idaho,888081.6460804716,63
Utah,Idaho,1003359.3445102308,63
Vermont,Idaho,612051.5057648335,63
Virginia,Idaho,677375.5444448817,63
Washington,Idaho,1090280.587908452,63
West Virginia,Idaho,693967.0993613458,63
Wisconsin,Idaho,785332.7589881883,63
Wyoming,Idaho,960994.5602889748,63
Alabama,Illinois,76385.52096438172,11
Alaska,Illinois,675025.0360638485,11
Arizona,Illinois,231922.30746092537,11
Arkansas,Illinois,60858.88564540103,11
California,Illinois,304076.7109414991,11
Colorado,Illinois,163846.26695167637,11
Connecticut,Illinois,165448.3546850799,11
Delaware,Illinois,816527.7846105422,11
Florida,Illinois,132565.00129370496,11
Georgia,Illinois,93739.17284145408,11
Hawaii,Illinois,700199.9143701748,11
Idaho,Illinois,778545.4722545113,11
Illinois,Illinois,0.0,0
Indiana,Illinois,29186.295174276573,11
Iowa,Illinois,798727.8732565929,11
Kansas,Illinois,93134.48513305906,11
Kentucky,Illinois,46315.65648892392,11
Louisiana,Illinois,93996.18073624057,11
Maine,Illinois,206527.38233222248,11
Maryland,Illinois,382063.3274471655,11
Massachusetts,Illinois,175290.7811751662,11
Michigan,Illinois,57331.573055341854,11
Minnesota,Illinois,80638.0545648269,11
Mississippi,Illinois,73204.87127234088,11
Missouri,Illinois,799684.562343178,11
Montana,Illinois,216059.46293555392,11
Nebraska,Illinois,107036.74003350438,11
Nevada,Illinois,274439.5831380743,11
New Hampshire,Illinois,179873.06151839413,11
New Jersey,Illinois,145244.64282375443,11
New Mexico,Illinois,178298.3893281148,11
New York,Illinois,139764.45345652092,11
North Carolina,Illinois,107859.51670575944,11
North Dakota,Illinois,134864.28990655756,11
Ohio,Illinois,64074.66589066228,11
Oklahoma,Illinois,94170.5435260942,11
Oregon,Illinois,316023.63595940097,11
Pennsylvania,Illinois,114275.4980606079,11
Rhode Island,Illinois,177158.6222400705,11
South Carolina,Illinois,103152.71932915776,11
South Dakota,Illinois,118759.9994947794,11
Tennessee,Illinois,365668.2049084935,11
Texas,Illinois,132698.34214864933,11
Utah,Illinois,224858.5504000237,11
Vermont,Illinois,170141.3446197014,11
Virginia,Illinois,106454.17787949894,11
Washington,Illinois,321013.2494617629,11
West Virginia,Illinois,86874.78752779773,11
Wisconsin,Illinois,46514.93149516615,11
Wyoming,Illinois,185908.88308254664,11
Alabama,Indiana,71358.03910562565,14
Alaska,Indiana,702847.6358393759,14
Arizona,Indiana,259933.73963377663,14
Arkansas,Indiana,79348.54829169845,14
California,Indiana,332984.6822317807,14
Colorado,Indiana,192870.70058461445,14
Connecticut,Indiana,136639.6705865467,14
Delaware,Indiana,787362.9663865325,14
Florida,Indiana,118976.6343867568,14
Georgia,Indiana,77885.54313221421,14
Hawaii,Indiana,727813.2510926137,14
Idaho,Indiana,749529.1499988509,14
Illinois,Indiana,29186.295174276573,14
Indiana,Indiana,0.0,0
Iowa,Indiana,769629.0631732926,14
Kansas,Indiana,121795.8791133756,14
Kentucky,Indiana,25547.329606046893,14
Louisiana,Indiana,105142.48957010671,14
Maine,Indiana,178969.1636930787,14
Maryland,Indiana,372190.7997492684,14
Massachusetts,Indiana,146653.17250233627,14
Michigan,Indiana,45369.69716672132,14
Minnesota,Indiana,102551.03312010076,14
Mississippi,Indiana,79183.6165377662,14
Missouri,Indiana,770511.433750337,14
Montana,Indiana,244242.91497195984,14
Nebraska,Indiana,136130.85734321957,14
Nevada,Indiana,303548.64260114887,14
New Hampshire,Indiana,151802.75621344955,14
New Jersey,Indiana,116125.8583132973,14
New Mexico,Indiana,205761.22749682455,14
New York,Indiana,111815.41718385708,14
North Carolina,Indiana,81454.55141365643,14
